attribute,SHIFT AI,DMM 生成AICAMP,侍エンジニア
service_id,shiftai,dmmai,samuraiai
logo_path,img/logo/shiftai.webp,img/logo/dmmai.webp,img/logo/samuraiai.webp
tab0_col1,<i1><red>あり</red><br>今日から使える実践的AI活用術を無料で学べる<br>,<i4>なし<br>（カウンセリングのみ）,<i4>なし<br>（カウンセリングのみ）
tab0_col2,<i1><red>かなり高い</red><br>セミナー満足度94.4％<br>参加者2万人突破！,<i1><red>かなり高い</red><br>実務直結の実践型カリキュラム,<i2>高い<br>マンツーマンで挫折なし
tab0_col3,<i1><red>特典あり</red><br>実践で使える12大特典<br>プロンプト175選<br>GPTs130選<br>AI副業案件<br>AIツール20選,実践で使える生成AIプロンプト集,なし
tab1_col1,<tag_r>ChatGPT<tag_r>画像生成<tag_r>動画制作<tag_r>文章作成<tag_r>資料作成<tag_r>副業<tag_r>業務効率<tag_r>ｱﾌﾟﾘ開発,<tag_r>生成AI<tag_r>画像生成<tag_r>文章作成<tag_r>資料作成<tag_r>副業<tag_r>業務効率<tag_r>ｱﾌﾟﾘ開発<tag_r>ﾏｰｹﾃｨﾝｸﾞ,<tag_r>生成AI<tag_r>画像生成<tag_r>文章作成<tag_r>資料作成<tag_r>副業<tag_r>業務効率<tag_r>ｱﾌﾟﾘ開発<tag_r>ﾏｰｹﾃｨﾝｸﾞ
tab1_col2,"<i1><red>50コース</red><br>1,000本以上の実践型動画講座",<i2>6コース<br>実務直結の専門講座,<i2>6コース<br>完全オリジナルカリキュラム
tab1_col3,<i1><red>会員数2万人以上<br>利用者数No.1</red><br>実践的な学びが評価,<i2>ルーティンワーク70％削減<br>明日から使える実践スキル,<i2>個別指導で確実にスキル習得<br>挫折率8％
tab2_col1,"<i1><red>月々21,800円</red><br>一括547,800円<br>無料セミナーで体験可能","<i2>一括198,000円〜<br>最短4週間で習得","<i1><red>99,000円〜</red><br>入学金+99,000円<br>マンツーマン指導"
tab2_col2,<i1><red>あり</red>,<i4>記載なし,<i4>記載なし
tab2_col3,100名以上の現役講師が実践的な活用術を基礎から応用まで教えてくれる。,大手DMMが運営。職種別の専門コースで実務に直結するスキルが身につく,給付金(受講料が最大80%OFF)+現役プロによる就業/副業支援を受けられる
